"121-0000042              ","    ",".01uF,50V,CER,X7R,10%                        ","CAP-SMT ","0805    ","0.0029","Active  ","BUY       "
"121-0000051              ","    ",".047uF,50V,CER,X7R,10%                       ","CAP-SMT ","0805    ","0.006","Active  ","BUY       "
"121-0000057              ","    ",".1uF,50V,CER,X7R,10%                         ","CAP-SMT ","0805    ","0.0033","Active  ","BUY       "
"121-0000117              ","    ",".01uF 50V,CER,X7R,10%                        ","CAP-SMT ","1206    ","0.00001","Active  ","BUY       "
"133-0000314              ","    ","33pF,200V,CER,10%                            ","CAP-THT ","RADIAL  ","0.24","Active  ","BUY       "
"101-0001806              ","    ","1.5K,1/10W,1%                                ","RES-SMT ","0805    ","0.004","Active  ","BUY       "
"101-0001823              ","    ","100K,1/8W,5%                                 ","RES-SMT ","0805    ","0.003","Active  ","BUY       "
"101-0001828              ","    ","10K,1/8W,1%                                  ","RES-SMT ","0805    ","0.0035","Active  ","BUY       "
"101-0001917              ","    ","2.43K,1/10W,1%                               ","RES-SMT ","0805    ","0.00002","Active  ","BUY       "
"101-0001989              ","    ","3.3K,1/10W,5%                                ","RES-SMT ","0805    ","0.004","Active  ","BUY       "
"101-0002189              ","    ","1.21K,1/8W,1%                                ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"101-0002199              ","    ","10,1/4W,1%                                   ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"101-0002206              ","    ","100K,1/8W,1%                                 ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"101-0002209              ","    ","10K,1/8W,1%                                  ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"101-0002263              ","    ","1K,1/4W,1%                                   ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"101-0002264              ","    ","1M,1/8W,1%                                   ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"101-0002266              ","    ","221K,1/8W,1%                                 ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"101-0002281              ","    ","200,1/8W,1%                                  ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"101-0002293              ","    ","221,1/8W,1%                                  ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"101-0002307              ","    ","249 OHM,1/8W,1%                              ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"101-0002339              ","    ","30.1K,1/4W,1%                                ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"101-0002437              ","    ","6.81K,1/8W,1%                                ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"101-0002514              ","    ","100K,1/4W,5%                                 ","RES-SMT ","1210    ","0.0104","Active  ","BUY       "
"101-0002515              ","    ","10K,1/3W,1%                                  ","RES-SMT ","1210    ","0.016","Active  ","BUY       "
"101-0002529              ","    ","1K,1/4W,1%                                   ","RES-SMT ","1210    ","0.019","Active  ","BUY       "
"101-0002530              ","    ","1M,1/4W,1%                                   ","RES-SMT ","1210    ","0.026","Active  ","BUY       "
"101-0002554              ","    ","4.7K,1/4W,5%                                 ","RES-SMT ","1210    ","0.0125","Active  ","BUY       "
"101-0002567              ","    ","680,1/4W,5%                                  ","RES-SMT ","1210    ","0.011","Active  ","BUY       "
"101-0002571              ","    ","820K,1/4W,5%                                 ","RES-SMT ","1210    ","0.0125","Active  ","BUY       "
"101-0002611              ","    ","470,1/2W,5%                                  ","RES-SMT ","2010    ","0.02","Active  ","BUY       "
"105-0002668              ","    ","1.5K,1/2W,5%,FILM                            ","RES-THT ","AXIAL   ","0.007","Active  ","BUY       "
"105-0002679              ","    ","100K,1/4W,5%,FILM                            ","RES-THT ","AXIAL   ","0.004","Active  ","BUY       "
"105-0002679              ","    ","100K,1/4W,5%,FILM                            ","RES-THT ","AXIAL   ","0.004","Active  ","BUY       "
"105-0002681              ","    ","10K,1/4W,1%,FILM                             ","RES-THT ","AXIAL   ","0.00002","Active  ","BUY       "
"105-0002700              ","    ","18K,1/4W,5%,FILM                             ","RES-THT ","AXIAL   ","0.008","Active  ","BUY       "
"105-0002702              ","    ","1K,1/4W,5%,FILM                              ","RES-THT ","AXIAL   ","0.004","Active  ","BUY       "
"105-0002720              ","    ","200K,1/8W,1%,FILM                            ","RES-THT ","AXIAL   ","0.0273","Active  ","BUY       "
"105-0002751              ","    ","332K,1/4W,1%,FILM                            ","RES-THT ","AXIAL   ","0.00002","Active  ","BUY       "
"105-0002766              ","    ","4.7K,1/4W,5%,FILM                            ","RES-THT ","AXIAL   ","0.008","Active  ","BUY       "
"105-0002770              ","    ","470K,1/4W,5%,FILM                            ","RES-THT ","AXIAL   ","0.006","Active  ","BUY       "
"105-0002771              ","    ","470,1/2W,5%,FILM                             ","RES-THT ","AXIAL   ","0.015","Active  ","BUY       "
"105-0002773              ","    ","475K,1/4W,1%,FILM                            ","RES-THT ","AXIAL   ","0.00002","Active  ","BUY       "
"105-0002776              ","    ","499K,1/4W,1%                                 ","RES-THT ","AXIAL   ","0.00001","Active  ","BUY       "
"105-0002802              ","    ","680,1/4W,5%,FILM                             ","RES-THT ","AXIAL   ","0.012","Active  ","BUY       "
"105-0002810              ","    ","820K,1/4W,5%,FILM                            ","RES-THT ","AXIAL   ","0.005","Active  ","BUY       "
"105-0003359              ","    ","1.5K,1/4W,5%                                 ","RES-THT ","AXIAL   ","0.008","Active  ","BUY       "
"134-0000379              ","    ","2200pF,50V,CER,10%                           ","CAP-THT ","RADIAL  ","0.24","Active  ","BUY       "
"134-0000503              ","    ","22uF,35V,7.5X12.5,TANT,20%                   ","CAP-THT ","RADIAL  ","1.402","Active  ","BUY       "
"134-0000507              ","    ","47uF,16V,20%                                 ","CAP-THT ","RADIAL  ","0.00001","Active  ","BUY       "
"201-0000570              ","    ","1N914,75PIV,350mW                            ","DIOD-SMT","SOT-23  ","0.009","Active  ","BUY       "
"201-0000571              ","    ","BZX84C5V1,ZENER,5.1V,350mW                   ","DIOD-SMT","SOT-23  ","0.013","Active  ","BUY       "
"202-0000560              ","    ","1N4934,FAST RECOVERY,100PIV,1A               ","DIOD-THT","AXIAL   ","0.02","Active  ","BUY       "
"202-0000566              ","    ","1N751A,ZENER,5.1V,400MW,.5W                  ","DIOD-THT","AXIAL   ","0.018","Active  ","BUY       "
"202-0000567              ","    ","1N4002,RECTIFIER,100PIV,1A                   ","DIOD-THT","DO-41   ","0.034","Active  ","BUY       "
"202-0003483              ","    ","1N914,SMALL SIGNAL,100V                      ","DIOD-THT","AXIAL   ","0.0064","Active  ","BUY       "
"211-0003009              ","    ","FMMT2222,NPN,40V,600mA                       ","XSTR-SMT","SOT23   ","0.012","Active  ","BUY       "
"213-0003023              ","    ","2222,NPN,BIPOLAR,40V,600MA                   ","XSTR-THT","TO92    ","0.03","Active  ","BUY       "
"213-0003031              ","    ","TIP125,NPN,DARL'TON,40V,3A                   ","XSTR-THT","TO      ","0.176","Active  ","BUY       "
"221-0000928              ","    ","CD4049UBC,HEX INVERTING BF,16P               ","IC-SMT  ","SO16    ","0.144","Active  ","BUY       "
"225-0001300              ","    ","CD74HC08,QUAD AND GATE,14P                   ","IC-THT  ","DIP     ","0.094","Active  ","BUY       "
"225-0001301              ","    ","CD74HC74E,D FLIP FLOP,14P                    ","IC-THT  ","DIP     ","0.114","Active  ","BUY       "
"225-0001302              ","    ","MC14490P,HEX DEBOUNCE,16P                    ","IC-THT  ","DIP     ","2.42","Active  ","BUY       "
"225-0001303              ","    ","UDN2549,QUAD POWER DRIVE,16P                 ","IC-THT  ","DIP     ","2.25","Active  ","BUY       "
"225-0001325              ","    ","CD74HC14E,HEX INV.SCHMIDT,16P                ","IC-THT  ","DIP     ","0.094","Active  ","BUY       "
"406-0000582              ","    ","1/2 AMP,250V,TIME LAG                        ","FUSE-THT","RADIAL  ","0.00001","Active  ","BUY       "
"406-0003117              ","    ","3A,125V,PICO,FAST-ACTING                     ","FUSE-THT","AXIAL   ","0.3","Active  ","BUY       "
"414-0001536              ","    ","GREEN,TOP VIEW                               ","LED-SMT ","1206    ","0.037","Active  ","BUY       "
"415-0001539              ","    ","RED,14V,3MA,VERT,W/RESISTOR,2P               ","LED-THT ","ALL     ","0.75","Active  ","BUY       "
"415-0001540              ","    ","RED,5V,3MA,VERT,W/RESISTOR,2P                ","LED-THT ","ALL     ","0.89","Active  ","BUY       "
"421-0002847              ","    ","OPTO SWITCH,DEEP GAP,OPEN COLLECTOR          ","SWITCH  ","OTHER   ","1.35","Active  ","BUY       "
"501-0003448              ","    ","DIP,8P,SN-PB,OPEN FRAME                      ","SOCKET  ","DIP     ","0.52","Active  ","BUY       "
"503-0002854              ","    ","TERMINAL,WHITE,1.63MM,TIN                    ","TEST PT.","ALL     ","0.18","Active  ","BUY       "
"515-0000510              ","    ","4P,2R,RT,BRASS,4.2MM                         ","CON-THT ","HEADER  ","0.122","Active  ","BUY       "
"515-0000511              ","    ","8P,1R,VERT,C-GRID,GOLD,2.54M                 ","CON-THT ","HEADER  ","0.36","Active  ","BUY       "
"515-0000513              ","    ","8P,1R,RT,GOLD,2.54MM                         ","CON-THT ","HEADER  ","0.426","Active  ","BUY       "
"515-0003218              ","    ","RJ-12,VERT,MODULAR                           ","CON-THT ","OTHER   ","0.278","Active  ","BUY       "
"515-0003650              ","    ","2P,1R,VERT,C-GRID W/LTH,1.27MM               ","CON-THT ","HEADER  ","0.00002","Active  ","BUY       "
"550-0011299              ","    ","IN LINE LIGHTNING ARREST0R FOR FNP           ","MOV     ","ALL     ","40.37","Active  ","BUY       "
"515-0004005              ","    ","36P,1R,VERT,TIN,.1                           ","JUMPER  ","OTHER   ","0.11","Active  ","BUY       "
"225-0004007              ","    ","CD74HC123,MONOSTABLE MULVI,16P               ","IC-THT  ","DIP     ","0.136","Active  ","BUY       "
"225-0004008              ","    ","SN75468N,IC,DARL TRNS,16P                    ","IC-THT  ","DIP     ","0.215","Active  ","BUY       "
"131-0004009              ","    ","100uF,50V,10X18,AL ELEC,20%                  ","CAP-THT ","AXIAL   ","1.23","Active  ","BUY       "
"134-0004011              ","    ","0.1uF,50V,FILM,5%                            ","CAP-THT ","RADIAL  ","0.1112","Active  ","BUY       "
"134-0004012              ","    ","1.0uF,50V,FILM,5%                            ","CAP-THT ","RADIAL  ","0.144","Active  ","BUY       "
"415-0004013              ","    ","RED,24V,3MA,VERT,W/RESISTOR,2P               ","LED-THT ","ALL     ","0.805","Active  ","BUY       "
"134-0004014              ","    ",".047uF,50V,5%                                ","CAP-THT ","RADIAL  ","0.05","Active  ","BUY       "
"515-0004016              ","    ","34P,2R,VERT,GOLD,2.54MM                      ","CON-THT ","HEADER  ","1.65","Active  ","BUY       "
"515-0004017              ","    ","2P,1R,RT,C-GRID                              ","CON-THT ","OTHER   ","0.18","Active  ","BUY       "
"515-0004018              ","    ","3P,1R,RT,C-GRID                              ","CON-THT ","OTHER   ","0.24","Active  ","BUY       "
"515-0004019              ","    ","5P,1R,RT,C-GRID                              ","CON-THT ","OTHER   ","0.29","Active  ","BUY       "
"515-0004020              ","    ","6P,1R,RT,C-GRID                              ","CON-THT ","OTHER   ","0.00002","Active  ","BUY       "
"415-0004030              ","    ","HALL EFFECT,OPEN COIL                        ","SWITCH  ","OTHER   ","0.63","Active  ","BUY       "
"515-0004035              ","    ","3P,1R,C-GRID                                 ","CON-THT ","HEADER  ","0.181","Active  ","BUY       "
"201-0004040              ","    ","FR1BDI,1A,100PIV,FAST RECOVERY               ","DIOD-SMT","SMB     ","0.033","Active  ","BUY       "
"421-0004044              ","    ","OPEN SLOTTED OPTICAL                         ","SWITCH  ","OTHER   ","1.29","Active  ","BUY       "
"225-0004045              ","    ","MC14049,HEX BUFFER INVERT,16P                ","IC-THT  ","DIP     ","0.14","Active  ","BUY       "
"608-0004051              ","    ","3/8 OD,3/16 H,NYLON                          ","HARDWARE","STANDOFF","0.018","Active  ","BUY       "
"516-0004058              ","    ","SHUNT,2P,BLACK,GOLD PLATED                   ","JUMPER  ","PLUG    ","0.02","Active  ","BUY       "
"436-0004061              ","    ","SOCKET,HI FORCE,C-GRID,22AWG                 ","TERM    ","OTHER   ","0.044","Active  ","BUY       "
"910-0004046              ","D   ","29601201,LID LATCH,D                         ","FGI     ","PC-ASY  ","2.71071","Inactive","MAKE      "
"305-0004022              ","C   ","MCKESSON,246012,C,LID LATCH                  ","PCB-RAW ","MIXED MT","0.58","Active  ","BUY       "
"305-0004057              ","E   ","MCKESSON,246115,E,ROLLER LATCH               ","PCB-RAW ","MIXED MT","0.58","Active  ","BUY       "
"910-0004056              ","E   ","296115,BOARD LATCH ROLLER,E                  ","FGI     ","PC-ASY  ","5.6584","Active  ","MAKE      "
"301-0004055              ","A   ","MCKESSON,246128,A,SUPPLY DIST.               ","PCB-RAW ","PTH     ","8.1","Active  ","BUY       "
"910-0004054              ","B   ","296128,SUPPLY POWER DIST.,B                  ","FGI     ","PC-ASY  ","15.42","Active  ","MAKE      "
"101-0004117              ","    ","18K,1/4W,5%                                  ","RES-SMT ","1210    ","0.00002","Active  ","BUY       "
"414-0004125              ","    ","RED,TOP VIEW                                 ","LED-SMT ","1206    ","0.042","Active  ","BUY       "
"501-0004129              ","    ","DIP,4P,PCB MOUNT                             ","SOCKET  ","DIP     ","0.66","Active  ","BUY       "
"121-0004130              ","    ",".047uF,50V,CER,5%                            ","CAP-SMT ","1913    ","0.00002","Active  ","BUY       "
"515-0004132              ","    ","2P,1R,C-GRID                                 ","CON-THT ","HEADER  ","1.45","Active  ","BUY       "
"515-0004133              ","    ","5P,1R,VERT                                   ","CON-THT ","HEADER  ","0.226","Active  ","BUY       "
"515-0004134              ","    ","10P,1R,VERT,MICRO FIT                        ","CON-THT ","HEADER  ","0.7137","Active  ","BUY       "
"221-0004137              ","    ","CD74HC14M,HEX INV,SCHMITT,14P                ","IC-SMT  ","SO14    ","0.065","Active  ","BUY       "
"221-0004138              ","    ","CD74HC08M,QUAD,GATE,14P                      ","IC-SMT  ","SO14    ","0.068","Active  ","BUY       "
